timestamp,seconds_elapsed,total_queries,hit_rate,avg_latency_ms
14:24:21,9.86,100,56.0,0.35
14:25:07,56.28,600,91.67,0.31
14:25:42,90.75,700,88.0,0.32
14:25:58,107.27,800,87.88,0.32
14:28:06,234.72,1800,90.11,0.31
14:28:15,243.88,2000,90.0,0.31
14:28:37,266.19,2100,90.19,0.31
14:29:21,309.69,2200,89.23,0.31
14:29:37,325.5,2400,89.46,0.31
14:30:15,363.52,2800,90.36,0.31
14:30:36,384.63,3100,90.39,0.3
14:30:56,404.61,3200,90.41,0.3
14:32:21,490.25,4100,91.05,0.29
14:33:09,537.57,4300,90.67,0.29
14:33:33,562.08,4500,90.71,0.29
14:33:53,581.37,4700,90.79,0.29
14:34:04,593.18,4900,91.08,0.29
14:34:15,603.92,5100,91.16,0.29
14:34:32,620.9,5400,91.33,0.29
14:35:15,663.41,5700,91.32,0.29
14:36:06,715.08,6000,91.07,0.3
14:36:47,755.47,6300,91.06,0.3
14:37:18,786.88,6700,91.22,0.31
14:38:36,864.71,7600,91.42,0.32
14:40:07,955.85,8400,91.5,0.32
14:40:27,976.0,8500,91.46,0.32
14:40:50,998.47,8700,91.47,0.32
14:40:51,999.51,8800,91.57,0.32
14:41:12,1020.57,9100,91.65,0.31
14:42:43,1112.02,9900,91.65,0.31
14:42:57,1125.75,10000,91.63,0.31
14:43:13,1141.5,10200,91.59,0.31
14:43:27,1156.25,10300,91.62,0.31
14:44:00,1188.79,10600,91.68,0.31
14:44:15,1203.66,10800,91.58,0.31
14:44:54,1242.99,11000,91.64,0.31
14:45:10,1259.28,11100,91.59,0.31
14:46:00,1308.61,11600,91.65,0.31
14:46:07,1315.38,11700,91.64,0.31
14:46:45,1353.67,12100,91.65,0.3
14:47:26,1394.38,12400,91.64,0.3
14:48:10,1438.88,12700,91.58,0.3
14:48:42,1471.27,13000,91.53,0.3
14:49:58,1547.26,13800,91.61,0.3
14:50:12,1560.85,13900,91.62,0.3
14:50:36,1585.24,14100,91.7,0.3
14:51:43,1651.53,14600,91.62,0.3
14:51:59,1668.26,14900,91.66,0.3
14:52:44,1713.25,15300,91.73,0.3
14:53:36,1764.65,15700,91.66,0.3
14:54:10,1798.7,16000,91.68,0.3
14:54:37,1825.38,16200,91.62,0.3
14:55:26,1874.51,17000,91.72,0.3
14:55:54,1903.33,17200,91.77,0.3
14:55:55,1904.36,17300,91.77,0.3
14:56:13,1921.51,17400,91.8,0.3
14:56:30,1938.57,17600,91.73,0.3
14:56:55,1964.1,17700,91.74,0.3
14:58:14,2043.04,18100,91.62,0.3
14:58:49,2078.21,18500,91.66,0.3
14:59:00,2088.98,18700,91.66,0.29
14:59:42,2130.47,18900,91.65,0.29
15:00:49,2197.55,19300,91.56,0.29
15:01:22,2231.2,19600,91.52,0.29
15:01:42,2251.22,19800,91.58,0.29
15:01:45,2253.89,19900,91.6,0.29
15:01:46,2254.92,20000,91.64,0.29
15:01:47,2255.95,20100,91.68,0.29
15:01:59,2267.62,20500,91.8,0.29
15:02:20,2288.88,20800,91.83,0.29
15:02:34,2302.67,21100,91.88,0.29
15:02:47,2315.97,21400,91.95,0.3
15:03:12,2341.35,21500,91.94,0.3
15:03:31,2359.77,21600,91.88,0.3
15:03:58,2386.7,21700,91.87,0.3
15:04:26,2414.81,21900,91.87,0.3
15:04:57,2445.97,22200,91.83,0.3
15:04:58,2447.0,22300,91.85,0.3
15:05:16,2464.89,22400,91.86,0.3
15:05:46,2495.1,22900,91.87,0.3
15:07:09,2578.09,23400,91.84,0.3
15:08:04,2632.37,23900,91.81,0.3
15:08:39,2667.87,24300,91.86,0.3
15:09:24,2712.74,24800,91.89,0.3
15:09:57,2745.76,25100,91.84,0.3
