timestamp,seconds_elapsed,total_queries,hit_rate
21:23:08,1.11,100,57.0
21:23:30,23.31,200,75.0
21:24:32,85.4,600,83.67
21:25:18,131.45,900,87.56
21:26:19,192.15,1400,88.64
21:27:41,273.74,2000,88.65
21:28:00,292.61,2200,88.77
21:28:25,317.85,2500,90.04
21:29:35,388.31,3200,90.28
21:29:55,408.44,3400,90.35
21:30:37,449.93,3800,90.5
21:30:56,468.6,3900,90.46
21:32:40,572.96,4700,90.45
21:33:03,595.54,4900,90.43
21:33:23,615.7,5000,90.28
21:34:19,672.2,5500,90.36
21:34:40,693.0,5600,90.34
21:34:57,710.26,5700,90.4
21:35:57,770.46,6400,90.67
21:36:17,790.03,6500,90.63
21:36:39,812.3,6600,90.45
21:37:03,835.57,6800,90.54
21:37:26,858.5,7100,90.61
21:37:45,877.57,7300,90.68
21:37:46,878.63,7400,90.7
21:38:49,941.93,7900,90.67
21:39:54,1007.21,8300,90.54
21:40:13,1026.41,8400,90.61
21:40:34,1047.36,8600,90.67
21:41:21,1093.91,8900,90.54
21:41:22,1094.97,9000,90.62
21:41:44,1116.85,9200,90.64
21:42:05,1137.62,9400,90.7
21:42:25,1158.18,9800,90.96
21:42:44,1177.47,10000,90.94
21:43:03,1196.02,10200,90.96
21:43:24,1216.74,10400,91.03
21:44:08,1260.8,10700,90.97
21:44:26,1279.13,10800,90.94
21:45:29,1341.9,11500,91.03
21:45:48,1360.98,11600,91.07
21:46:15,1387.75,11900,91.08
21:46:56,1428.74,12200,91.08
21:47:37,1469.72,12500,91.02
21:47:55,1487.63,12700,91.08
21:48:15,1508.14,12900,91.12
21:49:38,1591.4,13500,91.05
21:50:21,1633.65,14100,91.2
21:52:45,1778.09,15300,91.2
21:53:06,1799.31,15500,91.17
21:53:46,1838.55,15800,91.19
21:53:47,1839.61,15900,91.21
21:54:08,1861.15,16000,91.2
21:54:54,1906.61,16400,91.18
21:55:16,1929.49,16600,91.22
21:55:37,1949.75,16700,91.16
21:55:58,1970.5,16800,91.12
21:56:18,1991.01,17000,91.14
21:57:04,2036.56,17500,91.19
21:57:25,2057.84,17600,91.16
21:58:03,2096.06,17900,91.13
21:58:25,2118.23,18100,91.15
21:59:11,2163.94,18400,91.12
21:59:35,2187.69,18600,91.12
21:59:53,2206.3,18800,91.12
22:00:33,2245.74,19100,91.1
22:01:58,2330.7,19900,91.18
22:02:22,2354.54,20100,91.12
22:03:42,2435.28,20800,91.13
22:04:03,2456.2,21000,91.18
22:05:11,2523.73,21500,91.14
22:06:14,2586.77,21900,91.1
22:06:52,2625.38,22400,91.15
22:07:51,2683.86,22900,91.14
22:09:23,2775.52,23600,91.13
22:09:43,2795.67,23800,91.13
22:10:03,2816.08,23900,91.12
22:10:26,2838.84,24200,91.16
22:10:48,2860.62,24400,91.16
22:11:11,2883.99,24600,91.18
22:11:34,2906.59,24700,91.15
22:12:33,2966.24,25100,91.11
22:12:34,2967.3,25200,91.13
22:12:54,2987.09,25300,91.09
22:13:36,3029.22,25800,91.14
22:13:53,3045.85,25900,91.13
22:14:14,3067.29,26100,91.15
22:14:15,3068.35,26200,91.18
22:14:36,3088.95,26400,91.2
22:14:57,3110.17,26600,91.18
22:15:18,3131.49,26800,91.2
22:15:44,3156.66,27000,91.18
22:16:05,3177.87,27200,91.17
22:16:32,3205.23,27500,91.22
22:16:54,3227.11,27700,91.22
22:17:17,3249.66,28000,91.24
22:17:38,3271.23,28100,91.24
22:17:59,3291.95,28300,91.24
