timestamp,seconds_elapsed,total_queries,hit_rate,avg_latency_ms
15:26:31,30.61,500,0.0,0.35
15:27:02,61.26,700,0.0,0.37
15:27:25,84.64,900,0.0,0.37
15:27:38,97.42,1000,0.0,0.38
15:28:02,121.54,1100,0.0,0.38
15:28:06,125.68,1200,0.0,0.38
15:28:23,142.55,1400,0.0,0.38
15:28:32,151.25,1600,0.0,0.37
15:29:08,186.98,1900,0.0,0.37
15:29:31,209.86,2000,0.0,0.38
15:30:25,264.27,2600,0.0,0.38
15:31:11,309.85,2900,0.0,0.38
15:31:29,328.43,3000,0.0,0.38
15:31:47,346.14,3100,0.0,0.38
15:31:55,354.16,3200,0.0,0.38
15:31:56,355.23,3300,0.0,0.38
15:32:17,376.27,3500,0.0,0.38
15:33:21,440.41,4000,0.0,0.39
15:33:35,454.02,4200,0.0,0.39
15:36:05,604.28,5600,0.0,0.38
15:37:29,687.97,6300,0.0,0.38
15:38:10,729.44,6800,0.0,0.38
15:38:25,744.08,7000,0.0,0.38
15:39:06,784.86,7500,0.0,0.38
15:39:43,822.47,8200,0.0,0.38
15:39:50,829.43,8300,0.0,0.38
15:41:10,909.13,9100,0.0,0.38
15:41:25,924.65,9300,0.0,0.38
15:41:26,925.1,9400,0.0,0.38
15:41:47,946.55,9700,0.0,0.38
15:41:54,953.12,10000,0.0,0.37
15:42:12,971.13,10100,0.0,0.37
15:42:54,1012.93,10500,0.0,0.38
15:42:55,1014.0,10600,0.0,0.38
15:43:45,1064.21,11100,0.0,0.37
15:44:06,1085.46,11300,0.0,0.37
15:44:35,1114.08,11600,0.0,0.37
15:44:50,1129.49,11700,0.0,0.37
15:45:15,1154.35,12000,0.0,0.37
15:45:19,1157.78,12100,0.0,0.37
15:47:28,1287.12,12800,0.0,0.38
15:47:51,1310.72,13000,0.0,0.38
15:47:53,1311.8,13100,0.0,0.37
15:48:13,1332.47,13600,0.0,0.38
15:48:45,1364.53,13700,0.0,0.38
15:48:55,1374.04,13900,0.0,0.37
15:49:09,1388.37,14200,0.0,0.37
15:50:22,1461.64,14700,0.0,0.37
15:50:30,1469.69,14800,0.0,0.37
15:50:45,1484.74,15200,0.0,0.37
15:51:00,1499.47,15300,0.0,0.37
15:51:01,1500.55,15400,0.0,0.37
15:51:22,1521.22,15600,0.0,0.37
15:51:23,1522.29,15700,0.0,0.37
15:51:31,1530.7,15900,0.0,0.37
15:52:33,1592.51,16700,0.0,0.33
15:52:49,1608.1,16800,0.0,0.33
15:53:23,1641.82,17400,0.0,0.33
15:53:37,1656.17,17700,0.0,0.33
15:53:57,1676.04,18000,0.0,0.33
15:54:18,1697.43,18100,0.0,0.33
15:54:19,1698.51,18200,0.0,0.33
15:56:28,1827.45,19100,0.0,0.33
15:57:00,1859.24,19400,0.0,0.34
15:57:15,1874.04,19600,0.0,0.34
15:58:17,1935.91,20500,0.0,0.34
15:58:58,1976.82,20900,0.0,0.34
15:59:08,1987.65,21000,0.0,0.34
15:59:47,2026.32,21300,0.0,0.34
16:02:39,2198.32,22800,0.0,0.34
16:03:15,2234.66,23000,0.0,0.34
16:04:36,2314.79,23500,0.0,0.34
16:04:50,2329.19,23600,0.0,0.34
16:05:53,2392.76,24000,0.0,0.34
16:06:12,2411.34,24300,0.0,0.34
16:06:28,2426.78,24400,0.0,0.34
16:06:57,2456.13,24700,0.0,0.34
16:08:00,2519.69,25100,0.0,0.35
16:08:18,2537.33,25300,0.0,0.35
16:08:30,2548.98,25400,0.0,0.35
16:08:31,2550.05,25500,0.0,0.35
16:08:51,2570.04,25700,0.0,0.35
16:09:29,2608.67,26000,0.0,0.35
16:09:59,2637.91,26300,0.0,0.35
16:10:21,2660.03,26500,0.0,0.35
16:11:32,2731.19,26900,0.0,0.35
16:11:42,2740.84,27000,0.0,0.35
16:12:07,2766.6,27100,0.0,0.35
16:13:37,2856.18,27600,0.0,0.35
16:14:09,2888.52,28000,0.0,0.35
16:14:14,2893.74,28100,0.0,0.35
16:14:26,2905.68,28300,0.0,0.35
16:14:48,2926.78,28400,0.0,0.35
16:15:30,2968.78,29000,0.0,0.35
16:15:46,2985.38,29200,0.0,0.35
16:16:36,3035.38,29600,0.0,0.35
16:17:47,3106.51,30100,0.0,0.35
16:18:00,3119.41,30200,0.0,0.35
16:20:02,3241.45,31100,0.0,0.35
16:20:23,3261.79,31200,0.0,0.35
16:20:39,3277.9,31300,0.0,0.35
