timestamp,seconds_elapsed,total_queries,hit_rate,avg_latency_ms
20:27:38,7.67,100,100.0,0.35
20:27:48,18.07,200,100.0,0.36
20:28:13,42.98,400,100.0,0.33
20:28:34,63.3,500,100.0,0.33
20:29:21,110.86,800,100.0,0.32
20:29:39,128.69,900,100.0,0.31
20:29:56,145.83,1300,100.0,0.3
20:31:12,221.28,1600,100.0,0.3
20:31:22,231.7,1700,100.0,0.29
20:31:22,231.52,1800,100.0,0.29
20:31:50,260.16,2000,100.0,0.28
20:32:21,290.29,2200,100.0,0.28
20:32:39,309.09,2400,100.0,0.28
20:32:47,316.23,2600,100.0,0.28
20:33:17,346.42,3000,100.0,0.28
20:33:42,371.54,3200,100.0,0.27
20:33:53,382.52,3500,100.0,0.27
20:34:40,429.62,3600,100.0,0.27
20:34:58,447.89,3800,100.0,0.27
20:35:19,468.4,4100,100.0,0.27
20:36:07,517.1,4700,100.0,0.27
20:36:11,521.19,4900,100.0,0.26
20:37:07,576.84,5300,100.0,0.26
20:37:19,589.11,5400,100.0,0.27
20:37:42,611.34,5700,100.0,0.26
20:37:59,628.58,5900,100.0,0.26
20:38:00,629.63,6000,100.0,0.26
20:38:15,644.74,6100,100.0,0.26
20:38:32,661.6,6300,100.0,0.26
20:39:33,723.17,6800,100.0,0.26
20:40:01,751.18,7300,100.0,0.26
20:40:22,771.87,7400,100.0,0.26
20:40:40,789.52,7600,100.0,0.26
20:41:10,819.79,7800,100.0,0.26
20:41:14,823.76,7900,100.0,0.26
20:41:57,866.28,8200,100.0,0.26
20:42:05,874.57,8400,100.0,0.26
20:42:33,902.86,8600,100.0,0.26
20:42:43,912.9,8800,100.0,0.26
20:43:19,948.26,9200,100.0,0.26
20:43:36,965.6,9300,100.0,0.26
20:44:00,989.85,9500,100.0,0.26
20:44:19,1008.64,9600,100.0,0.26
20:44:54,1043.86,10000,100.0,0.26
20:45:18,1067.9,10200,100.0,0.26
20:45:19,1068.96,10300,100.0,0.26
20:45:50,1100.15,10600,100.0,0.26
20:46:12,1122.18,10800,100.0,0.26
20:47:02,1171.37,11400,100.0,0.26
20:47:21,1190.83,11600,100.0,0.26
20:47:38,1207.81,11700,100.0,0.26
20:48:19,1249.2,12200,100.0,0.26
20:48:54,1283.78,12500,100.0,0.26
20:48:55,1284.85,12600,100.0,0.26
20:49:36,1325.47,13000,100.0,0.26
